dataset,queries,method,depth,metric,mean,paired_difference_from_full,paired_difference_ci95_low,paired_difference_ci95_high,primary_eligible,candidate_union_contains_full,membership_exact,ordered_exact,ordered_exact_ci95_low,ordered_exact_ci95_high,longest_exact_prefix,full_membership_recall,source_sha256
trec-covid,50,sparse,,nDCG@10,0.595211627643749,-0.2106593503010935,-0.2604430711996993,-0.16003165689055818,1,,,,,,,,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,sparse,,MRR@10,0.8561904761904762,-0.13047619047619047,-0.21142857142857147,-0.05833333333333334,1,,,,,,,,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,sparse,,Recall@100,0.10844561102698651,-0.030797621286446416,-0.039273950502578175,-0.022674285850736692,1,,,,,,,,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L10,10,nDCG@10,0.6624068034302959,-0.14346417451454652,-0.19322981726304647,-0.09410498560095627,1,0.0,0.0,0.0,6.938893903907228e-18,0.07134759913335872,1.16,0.5589999999999999,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L10,10,MRR@10,0.8883333333333334,-0.09833333333333334,-0.16833333333333336,-0.04,1,0.0,0.0,0.0,6.938893903907228e-18,0.07134759913335872,1.16,0.5589999999999999,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L10,10,Recall@100,0.03149107397542357,-0.10775215833800936,-0.12296194100286913,-0.09389632212365827,0,0.0,0.0,0.0,6.938893903907228e-18,0.07134759913335872,1.16,0.5589999999999999,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L20,20,nDCG@10,0.6894283892608509,-0.11644258868399149,-0.16320754066207946,-0.07111680078358426,1,0.06,0.02,0.0,6.938893903907228e-18,0.07134759913335872,2.6,0.604,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L20,20,MRR@10,0.9466666666666665,-0.04,-0.09,0.0,1,0.06,0.02,0.0,6.938893903907228e-18,0.07134759913335872,2.6,0.604,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L20,20,Recall@100,0.05683853651367889,-0.08240469579975404,-0.09415499584973497,-0.07150564743000834,0,0.06,0.02,0.0,6.938893903907228e-18,0.07134759913335872,2.6,0.604,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L50,50,nDCG@10,0.7483810350807459,-0.05748994286409672,-0.08367850073144327,-0.03221927042085859,1,0.82,0.02,0.0,6.938893903907228e-18,0.07134759913335872,6.52,0.7130000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L50,50,MRR@10,0.99,0.0033333333333333335,0.0,0.01,1,0.82,0.02,0.0,6.938893903907228e-18,0.07134759913335872,6.52,0.7130000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L50,50,Recall@100,0.11820956016640556,-0.02103367214702735,-0.025201091261171708,-0.017250462901743077,0,0.82,0.02,0.0,6.938893903907228e-18,0.07134759913335872,6.52,0.7130000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L100,100,nDCG@10,0.7924862428298242,-0.013384735115018465,-0.028086445213177665,0.0002574336212000855,1,1.0,0.18,0.16,0.08337420678033404,0.2851421606303499,10.88,0.8680000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L100,100,MRR@10,0.9866666666666666,0.0,0.0,0.0,1,1.0,0.18,0.16,0.08337420678033404,0.2851421606303499,10.88,0.8680000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
trec-covid,50,fixed-L100,100,Recall@100,0.12961026943230997,-0.009632962881122935,-0.011882692407677137,-0.007474717953388683,1,1.0,0.18,0.16,0.08337420678033404,0.2851421606303499,10.88,0.8680000000000001,870f4fb5fed0817b8acb598244b502e4a5180d5c467d1c4bec867125b7f04782
