round,snapshot,dataset,queryId,denseDepth,sparseDepth,denseFullDepth,sparseFullDepth,denseReadRatio,sparseReadRatio,denseExhausted,sparseExhausted,orderedMismatch,source_sha256
4,R4,trec-covid-chrono-r4,24,640,624,157817,86882,0.0040553299074244003,0.0071821551069266003,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,25,320,304,157817,95097,0.0020276649537122001,0.0031967359643310998,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,26,6768,6752,157817,65648,0.0428851137710132,0.10285157202047281,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,27,5232,5216,157817,96339,0.033152321993194601,0.054142143887729699,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,28,480,480,157817,73677,0.0030414974305683,0.0065149232460604998,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,29,176,160,157817,105206,0.0011152157245417,0.0015208258084139,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
4,R4,trec-covid-chrono-r4,30,176,160,157817,84396,0.0011152157245417,0.0018958244466562,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,1,15472,15456,191175,82404,0.0809310840852622,0.1875637104994903,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,2,6768,6752,191175,65299,0.0354021184778344,0.1034012772017948,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,3,9328,9312,191175,101212,0.048792990715313102,0.0920049006046713,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,4,4720,4704,191175,132916,0.024689420687851401,0.035390773119865097,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,5,416,416,191175,123671,0.0021760167385902001,0.0033637635338922998,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,6,4720,4704,191175,138799,0.024689420687851401,0.033890734083098499,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,7,208,192,191175,70689,0.0010880083692951,0.0027161227347960002,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,8,10352,10336,191175,125639,0.054149339610304603,0.082267448801725498,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
5,R5,trec-covid-chrono-r5,9,7280,7264,191175,111136,0.038080292925330099,0.0653613590555715,False,False,False,50e8debfaec7c1f4fe332f84674b5d4972eee9083c7da639f2182f7d09abc07a
