dataset,query_id,dynamic_median_ms,native_bulk_median_ms,paired_ratio,dynamic_wins,measured_repetitions,source_sha256
msmarco-passage-trec-dl-2020,1113256,1025.092333,17923.998083,0.05719105348333239,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1115210,229.659875,18255.49625,0.012580313997216043,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1116380,6327.620166,22195.338917,0.2850877920658155,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1121353,304.038375,23791.233917,0.01277942859377082,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1122767,935.966417,17722.37375,0.05281270049955921,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1127540,210.925791,17631.728417,0.011962853896764398,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1131069,1005.456,19161.878917,0.05247168110993445,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1132532,220.798625,17895.41175,0.012338281347452091,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1133579,1175.010833,18214.392209,0.06451002149933995,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1136043,221.367917,17869.89975,0.012387753714175146,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1136047,1042.908291,19962.545916,0.05224325070501694,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,1136962,244.468041,22151.758083,0.011036055923146477,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,118440,1424.534625,19122.471167,0.07449532084840298,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,121171,211.840667,19179.324375,0.011045262223946301,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,135802,7924.641959,19561.133959,0.40512180815335114,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,141630,225.791708,20089.267041,0.011239419912094543,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,156498,1046.834709,19833.249209,0.05278180584374262,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,169208,251.125541,22007.704334,0.011410801289802534,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,174463,4398.093833,22946.58725,0.1916665770418649,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,23849,886.199125,23991.29225,0.036938365627220436,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,258062,983.73075,20525.862917,0.04792640163182865,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,324585,5495.473,21471.568333,0.2559418536536951,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,330975,1075.709875,20513.913166,0.052438063196196726,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,332593,223.410792,19274.20475,0.011591180798263543,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,336901,1180.069791,19124.491625,0.06170463582192083,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,390360,235.367417,19406.84075,0.012128064533120878,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,405163,3190.250292,18297.257542,0.17435674634174095,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,42255,219.644417,17789.318875,0.012346982958896451,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,47210,963.074125,21524.733375,0.04474267384508311,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,555530,236.831042,20248.816709,0.011696043546818004,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,583468,1001.720333,19424.657917,0.05156952247397459,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,640502,264.209,19632.373875,0.013457822354149721,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,67316,1160.514875,19225.128959,0.060364478047192485,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,673670,209.3815,18268.709834,0.011461208914179526,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,701453,921.333333,18882.825584,0.048792132771732756,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,730539,235.2355,19124.895709,0.01229996249805955,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,768208,11778.384,20159.105125,0.5842711730985133,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,877809,243.098708,20316.031334,0.011965856126297704,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,911232,1111.485083,20085.678042,0.05533719502402846,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,914916,233.184583,19530.928583,0.011939247128422106,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,938400,1165.310708,24263.577375,0.04802715980375915,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,940547,246.752375,21656.380167,0.011393980577418998,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
msmarco-passage-trec-dl-2020,997622,1046.749583,20298.325042,0.05156827377796604,1,5,1a4adca03996fc83fcf4173dada618513c07fea7d75742d0ef62de2950250a51
